model,strategy,warm_start,role,dataset,iteration,accuracy_mean,accuracy_sem,n_seeds
deep_gp_expr,entropy_batch,warm,al,static_random,115,0.894660,,1
deep_gp_expr,entropy_batch,warm,al,static_random,116,0.895040,,1
deep_gp_expr,entropy_batch,warm,al,static_random,117,0.894520,,1
deep_gp_expr,entropy_batch,warm,al,static_random,118,0.893190,,1
deep_gp_expr,entropy_batch,warm,al,static_random,119,0.894090,,1
deep_gp_expr,entropy_batch,warm,al,static_random,120,0.893450,,1
deep_gp_expr,entropy_batch,warm,al,static_random,121,0.894220,,1
deep_gp_expr,entropy_batch,warm,al,static_random,122,0.892650,,1
deep_gp_expr,entropy_batch,warm,al,static_random,123,0.890480,,1
deep_gp_expr,entropy_batch,warm,al,static_random,124,0.889050,,1
deep_gp_expr,entropy_batch,warm,al,mcmc,1,0.849138,0.010607,5
deep_gp_expr,entropy_batch,warm,al,mcmc,2,0.837100,0.010722,5
deep_gp_expr,entropy_batch,warm,al,mcmc,3,0.840168,0.012843,5
deep_gp_expr,entropy_batch,warm,al,mcmc,4,0.839668,0.010542,5
deep_gp_expr,entropy_batch,warm,al,mcmc,5,0.845602,0.012177,5
deep_gp_expr,entropy_batch,warm,al,mcmc,6,0.843097,0.009533,5
deep_gp_expr,entropy_batch,warm,al,mcmc,7,0.842180,0.008060,5
deep_gp_expr,entropy_batch,warm,al,mcmc,8,0.844298,0.004759,5
deep_gp_expr,entropy_batch,warm,al,mcmc,9,0.842771,0.002042,5
deep_gp_expr,entropy_batch,warm,al,mcmc,10,0.842108,0.001543,5
deep_gp_expr,entropy_batch,warm,al,mcmc,11,0.840263,0.001426,5
deep_gp_expr,entropy_batch,warm,al,mcmc,12,0.841946,0.001708,5
deep_gp_expr,entropy_batch,warm,al,mcmc,13,0.844182,0.001855,5
deep_gp_expr,entropy_batch,warm,al,mcmc,14,0.845805,0.001752,5
deep_gp_expr,entropy_batch,warm,al,mcmc,15,0.844435,0.002490,5
deep_gp_expr,entropy_batch,warm,al,mcmc,16,0.842350,0.001357,5
deep_gp_expr,entropy_batch,warm,al,mcmc,17,0.846234,0.001136,5
deep_gp_expr,entropy_batch,warm,al,mcmc,18,0.847708,0.001789,5
deep_gp_expr,entropy_batch,warm,al,mcmc,19,0.847287,0.001582,5
deep_gp_expr,entropy_batch,warm,al,mcmc,20,0.850397,0.001569,5
deep_gp_expr,entropy_batch,warm,al,mcmc,21,0.850137,0.000991,5
deep_gp_expr,entropy_batch,warm,al,mcmc,22,0.849663,0.000886,5
deep_gp_expr,entropy_batch,warm,al,mcmc,23,0.852232,0.001429,5
deep_gp_expr,entropy_batch,warm,al,mcmc,24,0.851006,0.000644,5
deep_gp_expr,entropy_batch,warm,al,mcmc,25,0.852166,0.001555,5
deep_gp_expr,entropy_batch,warm,al,mcmc,26,0.853419,0.001171,5
deep_gp_expr,entropy_batch,warm,al,mcmc,27,0.855892,0.002640,5
deep_gp_expr,entropy_batch,warm,al,mcmc,28,0.855680,0.002335,5
deep_gp_expr,entropy_batch,warm,al,mcmc,29,0.854166,0.002509,5
deep_gp_expr,entropy_batch,warm,al,mcmc,30,0.855218,0.002897,5
deep_gp_expr,entropy_batch,warm,al,mcmc,31,0.854983,0.003170,5
deep_gp_expr,entropy_batch,warm,al,mcmc,32,0.854549,0.002631,5
deep_gp_expr,entropy_batch,warm,al,mcmc,33,0.855988,0.002920,5
deep_gp_expr,entropy_batch,warm,al,mcmc,34,0.857220,0.003332,5
deep_gp_expr,entropy_batch,warm,al,mcmc,35,0.856039,0.003207,5
deep_gp_expr,entropy_batch,warm,al,mcmc,36,0.856662,0.002932,5
deep_gp_expr,entropy_batch,warm,al,mcmc,37,0.855569,0.002898,5
deep_gp_expr,entropy_batch,warm,al,mcmc,38,0.856694,0.002876,5
deep_gp_expr,entropy_batch,warm,al,mcmc,39,0.856510,0.002617,5
deep_gp_expr,entropy_batch,warm,al,mcmc,40,0.858293,0.003547,5
deep_gp_expr,entropy_batch,warm,al,mcmc,41,0.866312,,1
deep_gp_expr,entropy_batch,warm,al,mcmc,42,0.867438,,1
deep_gp_expr,entropy_batch,warm,al,mcmc,43,0.865298,,1
deep_gp_expr,entropy_batch,warm,al,mcmc,44,0.867234,,1
deep_gp_expr,entropy_batch,warm,al,mcmc,45,0.864176,,1
deep_gp_expr,entropy_batch,warm,al,mcmc,46,0.865528,,1
